"","nombre","id","precio","metros","habitaciones","distrito","fecha"
"1","Piso en calle TORTOSA, Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","96488952","600","80","2 ","Distrito Norte","21/01/2022"
"2","Piso en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","96481797","650","129","3 ","Distrito Norte","21/01/2022"
"3","Piso en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","92187877","630","81","3 ","Distrito Norte","21/01/2022"
"4","Casa o chalet independiente en ronda de la Magdalena, 82, Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","94269000","300","75","2 ","Distrito Norte","21/01/2022"
"5","Dúplex en SAN FELIX, Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","89907623","1.200","160","4 ","Distrito Norte","21/01/2022"
"6","Piso en calle de Catí, Zona Estadio Castalia, Castellón de la Plana / Castello de la Plana","96362513","490","45","2 ","Distrito Norte","21/01/2022"
"7","Piso en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","93858708","1.400","288","4 ","Distrito Norte","21/01/2022"
"8","Casa o chalet independiente en calle de Sogorb, 44, Zona Plaza Donoso Cortés - Avda Magdalena, Castellón de la Plana / Castello de la Plana","92007772","600","210","4 ","Distrito Norte","21/01/2022"
"9","Piso en avenida Virgen del lidon, 17, Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","96298352","800","120","3 ","Distrito Norte","21/01/2022"
"10","Piso en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","96315292","550","88","3 ","Distrito Norte","21/01/2022"
"11","Piso en calle VIRGEN DEL PILAR, 10, Zona Plaza Donoso Cortés - Avda Magdalena, Castellón de la Plana / Castello de la Plana","96239827","600","90","3 ","Distrito Norte","21/01/2022"
"12","Ático en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","91107758","750","120","3 ","Distrito Norte","21/01/2022"
"13","Estudio en travesía benifazar, Zona Estadio Castalia, Castellón de la Plana / Castello de la Plana","90551123","480","Planta 1ª exterior con ascensor","50 m²","Distrito Norte","21/01/2022"
"14","Piso en avenida del Lidon, Zona Pau Lledó, Castellón de la Plana / Castello de la Plana","90970691","1.000","130","3 ","Distrito Norte","21/01/2022"
"15","Piso en Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","95140350","700","150","4 ","Distrito Norte","21/01/2022"
"16","Piso en calle Calderón de la Barca, 16, Zona Pau Lledó, Castellón de la Plana / Castello de la Plana","96310706","675","100","3 ","Distrito Norte","21/01/2022"
"17","Piso en calle d'Alacant, 20, Zona Plaza Illes Columbretes, Castellón de la Plana / Castello de la Plana","96134991","750","120","3 ","Distrito Norte","21/01/2022"
"18","Piso en Zona Plaza Donoso Cortés - Avda Magdalena, Castellón de la Plana / Castello de la Plana","90662871","550","95","3 ","Distrito Norte","21/01/2022"
"19","Casa o chalet independiente en calle Còrdova, 3, Zona Estadio Castalia, Castellón de la Plana / Castello de la Plana","93681424","500","130","1 ","Distrito Norte","21/01/2022"
"20","Piso en calle Cabo de San Antonio, Zona Ensanche-Parque oeste, Castellón de la Plana / Castello de la Plana","93922932","550","1 hab.","1 ","Distrito Sur","21/01/2022"
"21","Piso en Zona Ensanche-Río Jucar, Castellón de la Plana / Castello de la Plana","96456129","600","95","3 ","Distrito Sur","21/01/2022"
